EmployeeID,EmployeeName,Department,PerformanceScore,AttendancePct,ProjectsCompleted
1001,Ananya_0,Sales,,82.9,9
1002,Isha_1,Engineering,82.8,100.0,5
1003,Ananya_2,Support,72.2,81.5,18
1004,Rohan_3,Finance,94.0,96.5,14
1005,Priya_4,Sales,69.4,93.1,3
1006,Karan_5,Engineering,69.4,78.0,17
1007,Meera_6,Sales,77.9,56.3,18
1008,Karan_7,Support,54.3,76.6,18
1009,Pooja_8,Engineering,62.8,89.7,15
1010,Suresh_9,Marketing,64.1,63.8,1
1011,Sneha_10,Support,92.6,81.6,14
1012,Rahul_11,Marketing,,63.6,5
1013,Karan_12,Marketing,68.5,86.7,4
1014,Rohan_13,HR,61.2,90.6,4
1015,Neha_14,Marketing,,80.6,20
1016,Arjun_15,Sales,67.8,100.0,15
1017,Ritu_16,Sales,74.8,69.1,13
1018,Rohan_17,Finance,84.9,66.7,10
1019,Meera_18,Marketing,77.5,55.6,19
1020,Karan_19,Support,59.1,88.0,3
1021,Priya_20,Support,83.9,87.6,8
1022,Divya_21,Sales,73.6,80.5,8
1023,Ananya_22,HR,57.3,74.2,9
1024,Aditya_23,Support,69.5,100.0,12
1025,Sneha_24,Marketing,79.1,58.6,12
1026,Karan_25,Support,78.9,79.2,9
1027,Rohan_26,Finance,66.9,94.2,6
1028,Ritu_27,Support,87.4,99.0,8
1029,Sneha_28,HR,64.9,80.4,13
1030,Arjun_29,Support,,99.6,18
1031,Isha_30,Support,69.2,82.2,11
1032,Priya_31,Engineering,61.7,67.1,2
1033,Rahul_32,HR,84.8,100.0,9
1034,Rohan_33,Engineering,74.1,100.0,19
1035,Rahul_34,Engineering,79.3,75.3,16
1036,Sameer_35,Support,79.3,100.0,15
1037,Vikram_36,Marketing,74.6,100.0,5
1038,Isha_37,Support,43.6,97.3,18
1039,Ritu_38,Marketing,76.0,80.5,19
1040,Pooja_39,Finance,76.1,55.2,13
1041,Neha_40,Engineering,72.4,90.4,5
1042,Manish_41,HR,92.7,77.2,3
1043,Priya_42,Sales,65.3,77.5,5
1044,Sneha_43,Support,86.0,89.9,14
1045,Meera_44,Sales,68.6,92.7,13
1046,Sameer_45,Finance,76.2,99.5,15
1047,Manish_46,Marketing,66.6,80.1,18
1048,Aarav_47,Support,70.3,63.0,4
1049,Ritu_48,Marketing,78.6,88.9,11
1050,Ananya_49,Marketing,75.1,81.5,14
1051,Sneha_50,HR,58.0,78.7,1
1052,Arjun_51,Finance,70.9,73.0,6
1053,Manish_52,Sales,73.1,91.1,10
1054,Manish_53,Finance,,87.6,7
1055,Vikram_54,Marketing,78.1,83.9,6
1056,Ritu_55,Finance,52.0,84.6,1
1057,Meera_56,Marketing,75.7,100.0,16
1058,Aarav_57,Sales,72.7,89.5,12
1059,Divya_58,Engineering,74.6,67.5,2
1060,Isha_59,Finance,88.7,96.3,3
1061,Rohan_60,Support,84.5,71.4,16
1062,Rohan_61,Finance,,64.0,5
1063,Vikram_62,Support,82.0,100.0,16
1064,Ritu_63,Engineering,63.1,76.5,9
1065,Manish_64,Finance,76.2,77.4,14
1066,Karan_65,Finance,56.4,86.0,7
1067,Divya_66,HR,,92.1,12
1068,Aditya_67,Finance,64.0,100.0,15
1069,Ananya_68,Engineering,65.6,80.2,8
1070,Rohan_69,Marketing,84.8,66.5,1
1071,Suresh_70,Finance,77.7,100.0,8
1072,Suresh_71,Engineering,55.7,87.8,1
1073,Rohan_72,Support,78.1,96.7,2
1074,Isha_73,Sales,60.2,65.2,2
1075,Rahul_74,Sales,81.3,89.5,17
1076,Isha_75,Marketing,78.0,90.2,16
1077,Karan_76,Finance,66.8,88.5,5
1078,Suresh_77,Finance,78.5,74.3,16
1079,Isha_78,HR,97.4,92.1,14
1080,Karan_79,Sales,,94.8,4
1064,Ritu_63,Engineering,63.1,76.5,9
1028,Ritu_27,Support,87.4,99.0,8
1032,Priya_31,Engineering,61.7,67.1,2
1070,Rohan_69,Marketing,84.8,66.5,1
1047,Manish_46,Marketing,66.6,80.1,18
1048,Aarav_47,Support,70.3,63.0,4
