EmployeeID,EmployeeName,Department,PerformanceScore,AttendancePct,ProjectsCompleted,TopPerformer,LowAttendanceFlag,DeptAvgPerformance
1001,Ananya_0,Sales,74.35,82.9,9,False,False,71.8
1002,Isha_1,Engineering,82.8,100.0,5,False,False,69.23
1003,Ananya_2,Support,72.2,81.5,18,False,False,74.43
1004,Rohan_3,Finance,94.0,96.5,14,True,False,73.62
1005,Priya_4,Sales,69.4,93.1,3,False,False,71.8
1006,Karan_5,Engineering,69.4,78.0,17,False,False,69.23
1007,Meera_6,Sales,77.9,56.3,18,False,True,71.8
1008,Karan_7,Support,54.3,76.6,18,False,False,74.43
1009,Pooja_8,Engineering,62.8,89.7,15,False,False,69.23
1010,Suresh_9,Marketing,64.1,63.8,1,False,True,75.03
1011,Sneha_10,Support,92.6,81.6,14,True,False,74.43
1012,Rahul_11,Marketing,74.35,63.6,5,False,True,75.03
1013,Karan_12,Marketing,68.5,86.7,4,False,False,75.03
1014,Rohan_13,HR,61.2,90.6,4,False,False,73.83
1015,Neha_14,Marketing,74.35,80.6,20,False,False,75.03
1016,Arjun_15,Sales,67.8,100.0,15,False,False,71.8
1017,Ritu_16,Sales,74.8,69.1,13,False,True,71.8
1018,Rohan_17,Finance,84.9,66.7,10,True,True,73.62
1019,Meera_18,Marketing,77.5,55.6,19,False,True,75.03
1020,Karan_19,Support,59.1,88.0,3,False,False,74.43
1021,Priya_20,Support,83.9,87.6,8,False,False,74.43
1022,Divya_21,Sales,73.6,80.5,8,False,False,71.8
1023,Ananya_22,HR,57.3,74.2,9,False,True,73.83
1024,Aditya_23,Support,69.5,100.0,12,False,False,74.43
1025,Sneha_24,Marketing,79.1,58.6,12,False,True,75.03
1026,Karan_25,Support,78.9,79.2,9,False,False,74.43
1027,Rohan_26,Finance,66.9,94.2,6,False,False,73.62
1028,Ritu_27,Support,87.4,99.0,8,True,False,74.43
1029,Sneha_28,HR,64.9,80.4,13,False,False,73.83
1030,Arjun_29,Support,74.35,99.6,18,False,False,74.43
1031,Isha_30,Support,69.2,82.2,11,False,False,74.43
1032,Priya_31,Engineering,61.7,67.1,2,False,True,69.23
1033,Rahul_32,HR,84.8,100.0,9,True,False,73.83
1034,Rohan_33,Engineering,74.1,100.0,19,False,False,69.23
1035,Rahul_34,Engineering,79.3,75.3,16,False,False,69.23
1036,Sameer_35,Support,79.3,100.0,15,False,False,74.43
1037,Vikram_36,Marketing,74.6,100.0,5,False,False,75.03
1038,Isha_37,Support,43.6,97.3,18,False,False,74.43
1039,Ritu_38,Marketing,76.0,80.5,19,False,False,75.03
1040,Pooja_39,Finance,76.1,55.2,13,False,True,73.62
1041,Neha_40,Engineering,72.4,90.4,5,False,False,69.23
1042,Manish_41,HR,92.7,77.2,3,True,False,73.83
1043,Priya_42,Sales,65.3,77.5,5,False,False,71.8
1044,Sneha_43,Support,86.0,89.9,14,True,False,74.43
1045,Meera_44,Sales,68.6,92.7,13,False,False,71.8
1046,Sameer_45,Finance,76.2,99.5,15,False,False,73.62
1047,Manish_46,Marketing,66.6,80.1,18,False,False,75.03
1048,Aarav_47,Support,70.3,63.0,4,False,True,74.43
1049,Ritu_48,Marketing,78.6,88.9,11,False,False,75.03
1050,Ananya_49,Marketing,75.1,81.5,14,False,False,75.03
1051,Sneha_50,HR,58.0,78.7,1,False,False,73.83
1052,Arjun_51,Finance,70.9,73.0,6,False,True,73.62
1053,Manish_52,Sales,73.1,91.1,10,False,False,71.8
1054,Manish_53,Finance,74.35,87.6,7,False,False,73.62
1055,Vikram_54,Marketing,78.1,83.9,6,False,False,75.03
1056,Ritu_55,Finance,52.0,84.6,1,False,False,73.62
1057,Meera_56,Marketing,75.7,100.0,16,False,False,75.03
1058,Aarav_57,Sales,72.7,89.5,12,False,False,71.8
1059,Divya_58,Engineering,74.6,67.5,2,False,True,69.23
1060,Isha_59,Finance,88.7,96.3,3,True,False,73.62
1061,Rohan_60,Support,84.5,71.4,16,False,True,74.43
1062,Rohan_61,Finance,74.35,64.0,5,False,True,73.62
1063,Vikram_62,Support,82.0,100.0,16,False,False,74.43
1064,Ritu_63,Engineering,63.1,76.5,9,False,False,69.23
1065,Manish_64,Finance,76.2,77.4,14,False,False,73.62
1066,Karan_65,Finance,56.4,86.0,7,False,False,73.62
1067,Divya_66,HR,74.35,92.1,12,False,False,73.83
1068,Aditya_67,Finance,64.0,100.0,15,False,False,73.62
1069,Ananya_68,Engineering,65.6,80.2,8,False,False,69.23
1070,Rohan_69,Marketing,84.8,66.5,1,True,True,75.03
1071,Suresh_70,Finance,77.7,100.0,8,False,False,73.62
1072,Suresh_71,Engineering,55.7,87.8,1,False,False,69.23
1073,Rohan_72,Support,78.1,96.7,2,False,False,74.43
1074,Isha_73,Sales,60.2,65.2,2,False,True,71.8
1075,Rahul_74,Sales,81.3,89.5,17,False,False,71.8
1076,Isha_75,Marketing,78.0,90.2,16,False,False,75.03
1077,Karan_76,Finance,66.8,88.5,5,False,False,73.62
1078,Suresh_77,Finance,78.5,74.3,16,False,True,73.62
1079,Isha_78,HR,97.4,92.1,14,True,False,73.83
1080,Karan_79,Sales,74.35,94.8,4,False,False,71.8
